latitude,longitude,altitude,geometry,report_num,date,crime_class,crime,location,address,city,state,status
39.172518,-86.50421,,Point,153468,December,Trespass,TRESPASS & MALICIOUS TRESPASS,TULIP TREE PARKING LOT,na,Bloomington,Indiana,CLOSED
39.17236,-86.497986,,Point,153441,December,Trespass,TRESPASS & MALICIOUS TRESPASS,STONEBELT,na,Bloomington,Indiana,ACTIVE
39.176673,-86.493972,,Point,153331,December,Trespass,TRESPASS & MALICIOUS TRESPASS,SERVICE BUILDING,na,Bloomington,Indiana,INACTIVE
39.1658587,-86.5171194,,Point,153282,December,Trespass,TRESPASS & MALICIOUS TRESPASS,READ CENTER,na,Bloomington,Indiana,CLOSED
39.170955,-86.508406,,Point,153201,November,Trespass,TRESPASS & MALICIOUS TRESPASS,EIGENMANN HALL,na,Bloomington,Indiana,CLOSED
39.171764,-86.5282,,Point,153148,November,Trespass,TRESPASS & MALICIOUS TRESPASS,DUNN STREET/NORTH OF 10TH,na,Bloomington,Indiana,CLOSED
39.173441,-86.512295,,Point,152910,October,Trespass,TRESPASS & MALICIOUS TRESPASS,SRSC,na,Bloomington,Indiana,CLOSED
39.1678135,-86.5310399,,Point,152892,October,Trespass,TRESPASS & MALICIOUS TRESPASS,POPLARS PARKING GARAGE,na,Bloomington,Indiana,CLOSED
39.1674562,-86.5257541,,Point,152727,October,Trespass,TRESPASS & MALICIOUS TRESPASS,INDIANA MEMORIAL UNION,na,Bloomington,Indiana,CLOSED
39.1678135,-86.5310399,,Point,152708,October,Trespass,TRESPASS & MALICIOUS TRESPASS,POPLARS PARKING GARAGE,na,Bloomington,Indiana,CLOSED
39.1670443,-86.5268612,,Point,152679,October,Trespass,TRESPASS & MALICIOUS TRESPASS,MAXWELL HALL,na,Bloomington,Indiana,CLOSED
39.1792728,-86.5154913,,Point,152659,October,Trespass,TRESPASS & MALICIOUS TRESPASS,IUPD STATION,na,Bloomington,Indiana,CLOSED
