dirty_location,clean_location
MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN"
10TH STREET/EAST OF JORDA,"1275 E 10th St, Bloomington, IN"
MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN"
17TH STREET/WEST OF JORDAN,"1600 East 17th St, Bloomington, IN"
FOREST QUAD,"1725 E 3rd st Bloomington, IN"
TETER QUAD,"501 N Sunrise Dr, Bloomington, IN 47406"
ALL OTHER NON-UNIVERSITY,na
10TH STREET/WEST OF JORDAN,"10,-15"
WRIGHT QUAD,na
HPER -SCHOOL OF PUBLIC HEALTH,na
3RD STREET/WEST OF JORDAN,na
BRISCOE QUAD,na
INDIANA MEMORIAL UNION,na
EIGENMANN HALL,na
WELLS LIBRARY,na
READ CENTER,na
Spruce Hall,na
17TH STREET/EAST OF JORDAN,na
FEE LANE/NORTH OF 10TH ST,na
FOSTER HARPER HALL,na
SRSC,na
ATHLETIC/WHITE LOT,na
JORDAN AVENUE/NORTH OF 10,na
JORDAN AVENUE/SOUTH OF 10,na
3RD STREET/EAST OF JORDAN,na
MCNUTT QUAD BACK LOT,na
46 BYPASS/EAST OF GOLF CO,na
ATWATER AVENUE/WEST OF JORDAN,na
TENTH STREET LOT,na
ATHLETIC/RED LOT,na
ASSEMBLY HALL,na
ALL OTHER OPEN AREAS,na
BALLANTINE HALL,na
DUNN STREET/NORTH OF 10TH,na
INDIANA AVENUE/SOUTH OF 1OTH STR,na
FOSTER JENKINSON HALL,na
MCNUTT QUAD COMMON AREA,na
7TH STREET/WEST OF JORDAN,na
IUPD STATION,na
FOSTER COMMON AREA,na
FOREST QUAD COMMON AREA,na
WILLKIE NORTH,na
WOODLAWN AVENUE/SOUTH OF,na
COLLINS EDMONDSON,na
INDIANA AVENUE/NORTH OF 1OTH STR,na
READ CENTER COMMON AREA,na
46 BYPASS/WEST OF GOLF CO,na
FEE LANE PARKING GARAGE,na
WOODLAWN AVENUE/NORTH OF,na
WRIGHT QUAD COMMON AREA,na
ATHLETIC/ORANGE LOT,na
EIGENMANN PARKING LOT,na
CROSSTOWN SHOP CTR,na
POPLARS PARKING GARAGE,na
7TH STREET/EAST OF JORDAN,na
LAW SCHOOL,na
FOSTER SHEA HALL,na
IMU PAY LOT #1,na
EIGENMANN HALL COMMON AREA,na
ZETA BETA TAU,na
BRISCOE QUAD BACK LOT,na
ALL OTHER CAMPUS BUILDING,na
FOSTER MAGEE HALL,na
TULIP TREE PARKING LOT,na
ALL OTHER PARKING AREAS,na
TETER QUAD COMMON AREA,na
HODGE HALL (BUSINESS BUILDING),na
SERVICE BUILDING,na
ATHLETIC/PURPLE LOT,na
WALNUT GROVE/NORTH OF 10TH,na
JORDAN HALL,na
NELSON BUILDING,na
WILLKIE SOUTH,na
SEMBOWER RECREATIONAL FIELD,na
TULIP TREE APTS.,na
UNKNOWN/DOES NOT APPLY,na
UNION STREET/SOUTH OF 10TH,na
AUDITORIUM,na
ATHLETIC/YELLOW LOT,na
13TH STREET/WEST OF JORDAN,na
PHI GAMMA DELTA,na
FOSTER MARTIN HALL,na
ASHTON VOS HALL,na
CAMPUS VIEW APTS.,na
Delta Chi,na
DUNN STREET/SOUTH OF 10TH,na
CAMPUS VIEW PARKING LOT,na
GEOLOGY BUILDING,na
DUNN MEADOW-SE OF 7TH & INDIANA AVE,na
FINE ARTS DEPT MAIN OFFICE,na
MUSICAL ARTS CENTER,na
THETA CHI,na
BRISCOE QUAD COMMON AREA,na
NEAL MARSHALL CENTER,na
VON LEE LOT,na
SWAIN HALL (E & W),na
FOSTER BACK LOT,na
BALLANTINE HALL PARKING GARAGE,na
4TH & DUNN PARKING LOT,na
USA LINDEN HALL,na
ATWATER PARKING GARAGE,na
WILLKIE CENTER,na
WRIGHT EDUCATION BLDG,na
FOSTER GRESHAM DINING,na
ALL OTHER LOCATIONS OUT OF BLTGN,na
TAU KAPPA EPSILON,na
POPLARS,na
USA COMMON AREA,na
DELTA UPSILON,na
SIGMA CHI,na
ATHLETIC/GREEN LOT,na
SYCAMORE HALL,na
SIGMA DELTA TAU,na
ALPHA DELTA PI,na
INFORMATICS,na
STUDENT BUILDING,na
LAW LANE/EAST OF JORDAN AVE,na
PHI MU,na
GODFREY GRAD&EXEC CTR.,na
815 N. JORDAN AVENUE,na
SPEA,na
FOREST QUAD EAST LOT,na
SIGMA NU,na
TRANSPORTATION GARAGE,na
OPTOMETRY CLINIC-E. 3rd St.,na
USA CEDAR HALL,na
BETA THETA PI,na
USA PINE HALL,na
