INACTIVE,341
CLOSED,334
Closed By Arrest,213
Closed No Arrest,95
ALL OTHER NON-UNIVERSITY,51
MCNUTT QUAD,35
10TH STREET/EAST OF JORDA,25
HPER -SCHOOL OF PUBLIC HEALTH,22
MEMORIAL STADIUM,20
BRISCOE QUAD,19
ACTIVE,19
TETER QUAD,19
17TH STREET/WEST OF JORDAN,17
3RD STREET/WEST OF JORDAN,17
INDIANA MEMORIAL UNION,15
10TH STREET/WEST OF JORDAN,13
EIGENMANN HALL,13
Spruce Hall,12
WRIGHT QUAD,12
ATHLETIC/RED LOT,11
WELLS LIBRARY,10
READ CENTER,10
MCNUTT QUAD BACK LOT,9
FOREST QUAD,9
ATHLETIC/WHITE LOT,9
17TH STREET/EAST OF JORDAN,9
FOSTER HARPER HALL,8
TENTH STREET LOT,7
FOSTER COMMON AREA,7
3RD STREET/EAST OF JORDAN,7
ACT/44,7
46 BYPASS/EAST OF GOLF CO,7
ALL OTHER OPEN AREAS,7
FOSTER JENKINSON HALL,7
Unfounded,6
WOODLAWN AVENUE/NORTH OF,6
JORDAN AVENUE/SOUTH OF 10,6
MCNUTT QUAD COMMON AREA,6
FEE LANE/NORTH OF 10TH ST,6
INDIANA AVENUE/NORTH OF 1OTH STR,6
FOREST QUAD COMMON AREA,6
ALL OTHER CAMPUS BUILDING,5
CROSSTOWN SHOP CTR,5
SRSC,5
JORDAN AVENUE/NORTH OF 10,5
EIGENMANN HALL COMMON AREA,5
WALNUT GROVE/NORTH OF 10TH,5
WILLKIE NORTH,5
EIGENMANN PARKING LOT,5
INDIANA AVENUE/SOUTH OF 1OTH STR,5
WOODLAWN AVENUE/SOUTH OF,5
JORDAN HALL,4
TRANSPORTATION GARAGE,4
7TH STREET/WEST OF JORDAN,4
ASSEMBLY HALL,4
ALL OTHER LOCATIONS OUT OF BLTGN,4
ATHLETIC/YELLOW LOT,4
Records Only,4
TETER QUAD COMMON AREA,4
MUSICAL ARTS CENTER,4
DUNN STREET/NORTH OF 10TH,4
READ CENTER COMMON AREA,4
ALL OTHER PARKING AREAS,4
PHI GAMMA DELTA,4
UNION STREET/SOUTH OF 10TH,4
ACT/47,4
13TH STREET PARKING LOT,3
HODGE HALL (BUSINESS BUILDING),3
TULIP TREE PARKING LOT,3
POPLARS PARKING GARAGE,3
FEE LANE PARKING GARAGE,3
7TH STREET/EAST OF JORDAN,3
FOSTER BACK LOT,3
UNION STREET/NORTH OF 10TH,3
JACOBS EAST STUDIO BUILDING,3
IUPD STATION,3
WILLKIE CENTER,3
COLLINS EDMONDSON,3
SWAIN HALL (E & W),3
FOSTER GRESHAM DINING,3
IMU PAY LOT #1,3
ACT/87,3
13TH STREET/WEST OF JORDAN,3
FOSTER SHEA HALL,3
NELSON BUILDING,3
SIGMA NU,3
LAW SCHOOL,3
INFORMATICS,3
ATWATER PARKING GARAGE,3
LAMDA CHI ALPHA,3
ALPHA CHI OMEGA,3
SEMBOWER RECREATIONAL FIELD,3
THETA CHI,2
FOREST QUAD EAST LOT,2
WRIGHT QUAD COMMON AREA,2
TAU KAPPA EPSILON,2
STUDENT BUILDING,2
WILLKIE COMMON AREA,2
GODFREY GRAD&EXEC CTR.,2
OPTOMETRY CLINIC-E. 3rd St.,2
DELTA UPSILON,2
VON LEE LOT,2
KAPPA SIGMA,2
USA CEDAR HALL,2
BRISCOE QUAD BACK LOT,2
Delta Chi,2
USA LINDEN HALL,2
UNKNOWN/DOES NOT APPLY,2
ALPHA EPSILON PHI,2
12TH STREET/WEST OF JORDAN,2
ASHTON COMMON AREA,2
ATHLETIC/GREEN LOT,2
FOSTER MAGEE HALL,2
Acacia,2
BETA THETA PI,2
AUDITORIUM,2
FINE ARTS DEPT MAIN OFFICE,2
PARK AVENUE/SOUTH OF 10TH,2
USA COMMON AREA,2
BALLANTINE HALL,2
POPLARS,2
BRISCOE QUAD COMMON AREA,2
PSYCHOLOGY BUILDING,2
