report_num,date,crime,location,address,city,state,lat,long,status
153174,11/16/15 0:00,THEFT- ALL OTHER,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,ACTIVE
153155,11/14/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
153046,11/7/15 0:00,DISORDERLY CONDUCT,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
153045,11/7/15 0:00,TRESPASS & MALICIOUS TRESPASS,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
153044,11/7/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
152989,11/3/15 0:00,RECKLESS DRIVING,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,INACTIVE
152891,10/27/15 0:00,FORCIBLE FONDLING,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
152750,10/17/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
152658,10/9/15 0:00,HARASSMENT/INTIMIDATION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,INACTIVE
152594,10/3/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
152575,10/3/15 0:00,PUBLIC INTOXICATION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
152574,10/3/15 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
152573,10/3/15 0:00,PUBLIC INTOXICATION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
152570,10/3/15 0:00,DISTURBANCES - OTHER,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
152567,10/3/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,CLOSED
