latitude,longitude,altitude,geometry,report_num,date,crime_class,crime,location,address,city,state,status
39.172518,-86.50421,,Point,153468,12/22/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,TULIP TREE PARKING LOT,na,Bloomington,Indiana,CLOSED
39.17236,-86.497986,,Point,153441,12/17/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,STONEBELT,na,Bloomington,Indiana,ACTIVE
39.176673,-86.493972,,Point,153331,12/5/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,SERVICE BUILDING,na,Bloomington,Indiana,INACTIVE
39.1658587,-86.5171194,,Point,153282,12/2/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,READ CENTER,na,Bloomington,Indiana,CLOSED
39.170955,-86.508406,,Point,153201,11/18/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,EIGENMANN HALL,na,Bloomington,Indiana,CLOSED
39.171764,-86.5282,,Point,153148,11/14/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,DUNN STREET/NORTH OF 10TH,na,Bloomington,Indiana,CLOSED
39.173441,-86.512295,,Point,152910,10/29/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,SRSC,na,Bloomington,Indiana,CLOSED
39.1678135,-86.5310399,,Point,152892,10/28/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,POPLARS PARKING GARAGE,na,Bloomington,Indiana,CLOSED
39.1674562,-86.5257541,,Point,152727,10/16/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,INDIANA MEMORIAL UNION,na,Bloomington,Indiana,CLOSED
39.1678135,-86.5310399,,Point,152708,10/15/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,POPLARS PARKING GARAGE,na,Bloomington,Indiana,CLOSED
39.1670443,-86.5268612,,Point,152679,10/12/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,MAXWELL HALL,na,Bloomington,Indiana,CLOSED
39.1792728,-86.5154913,,Point,152659,10/9/15 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,IUPD STATION,na,Bloomington,Indiana,CLOSED
39.164305,-86.526905,,Point,143637,12/31/14 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,INDIANA AVENUE/SOUTH OF 1OTH STR,na,Bloomington,Indiana,Closed No Arrest
39.1678135,-86.5310399,,Point,143631,12/26/14 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,POPLARS PARKING GARAGE,na,Bloomington,Indiana,Closed No Arrest
39.1674562,-86.5257541,,Point,143623,12/22/14 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,INDIANA MEMORIAL UNION,na,Bloomington,Indiana,Closed No Arrest
39.165622,-86.510907,,Point,143359,11/22/14 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,WILLKIE SOUTH,na,Bloomington,Indiana,Closed No Arrest
39.1653449,-86.5257769,,Point,143199,11/10/14 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,LINDLEY HALL,na,Bloomington,Indiana,Closed No Arrest
39.164953,-86.517455,,Point,143158,11/7/14 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,SIMON MUSIC LIB/RECIT,na,Bloomington,Indiana,Closed By Arrest
39.1678135,-86.5310399,,Point,142722,10/5/14 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,POPLARS PARKING GARAGE,na,Bloomington,Indiana,Closed No Arrest
39.1674562,-86.5257541,,Point,142651,10/1/14 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,INDIANA MEMORIAL UNION,na,Bloomington,Indiana,Closed By Arrest
39.173428,-86.523522,,Point,133390,11/30/13 0:00,Trespass,ADVISED OF TRESPASS,WOODLAWN AVENUE/NORTH OF,na,Bloomington,Indiana,INACTIVE
39.167135,-86.52557,,Point,133387,11/30/13 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,STUDENT BUILDING,na,Bloomington,Indiana,Closed No Arrest
39.1674562,-86.5257541,,Point,133386,11/30/13 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,INDIANA MEMORIAL UNION,na,Bloomington,Indiana,Closed No Arrest
39.1674562,-86.5257541,,Point,133368,11/24/13 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,INDIANA MEMORIAL UNION,na,Bloomington,Indiana,Closed No Arrest
39.165653,-86.511849,,Point,133327,11/20/13 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,Spruce Hall,na,Bloomington,Indiana,Closed No Arrest
39.1674562,-86.5257541,,Point,133159,11/9/13 0:00,Trespass,TRESPASS & MALICIOUS TRESPASS,INDIANA MEMORIAL UNION,na,Bloomington,Indiana,Closed No Arrest
