report_num,date,crime,location,address,city,state,lat,long,status
132859,10/19/13 0:00,ABANDONED PROPERTY,IUPD STATION, ,Bloomington,Indiana,,,ACT/44
133390,11/30/13 0:00,ADVISED OF TRESPASS,WOODLAWN AVENUE/NORTH OF, ,Bloomington,Indiana,,,INACTIVE
132941,10/26/13 0:00,ADVISED OF TRESPASS,17TH STREET/WEST OF JORDAN, ,Bloomington,Indiana,,,Closed No Arrest
132643,10/2/13 0:00,ADVISED OF TRESPASS,ALL OTHER CAMPUS BUILDING, ,Bloomington,Indiana,,,Closed No Arrest
132459,9/19/13 0:00,ARSON - OTHER RESIDENTIAL,TETER QUAD, ,Bloomington,Indiana,,,INACTIVE
133125,11/6/13 0:00,ASSAULT - OTHER DANGEROUS WEAPON,13TH STREET/WEST OF JORDAN, ,Bloomington,Indiana,,,INACTIVE
132808,10/15/13 0:00,ASSAULT- AGGRAVATED INJURY- HANDS FISTS FEETETC,7TH STREET/WEST OF JORDAN, ,Bloomington,Indiana,,,INACTIVE
133326,11/20/13 0:00,ASSAULT- KNIFE OR CUTTING INSTRUMENT,MEMORIAL STADIUM, ,Bloomington,Indiana,,,ACT/44
132950,10/27/13 0:00,ASSAULT- KNIFE OR CUTTING INSTRUMENT,TULIP TREE APTS., ,Bloomington,Indiana,,,Closed By Arrest
133394,11/30/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,ATHLETIC/RED LOT, ,Bloomington,Indiana,,,Closed By Arrest
133382,11/28/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed By Arrest
133269,11/16/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,SIGMA CHI, ,Bloomington,Indiana,,,INACTIVE
133214,11/13/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed No Arrest
133191,11/9/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,17TH STREET/WEST OF JORDAN, ,Bloomington,Indiana,,,INACTIVE
133087,11/3/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
133084,11/2/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,BRISCOE QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133077,11/2/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,MCNUTT QUAD, ,Bloomington,Indiana,,,INACTIVE
133067,11/2/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,ATHLETIC/RED LOT, ,Bloomington,Indiana,,,Closed By Arrest
133056,11/2/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,SIGMA NU, ,Bloomington,Indiana,,,Closed No Arrest
133048,11/2/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,3RD STREET/EAST OF JORDAN, ,Bloomington,Indiana,,,Closed No Arrest
133046,11/2/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
133026,11/1/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,FOREST QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133023,11/1/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,EIGENMANN HALL COMMON AREA, ,Bloomington,Indiana,,,Closed By Arrest
133021,10/31/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,MCNUTT QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133012,10/31/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,BRISCOE QUAD, ,Bloomington,Indiana,,,INACTIVE
132992,10/30/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,ALL OTHER PARKING AREAS, ,Bloomington,Indiana,,,Closed By Arrest
132959,10/27/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,REDBUD N 900-1600, ,Bloomington,Indiana,,,Closed By Arrest
132952,10/27/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,MCNUTT QUAD, ,Bloomington,Indiana,,,Closed No Arrest
132932,10/26/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,ALL OTHER PARKING AREAS, ,Bloomington,Indiana,,,Unfounded
132917,10/24/13 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,FOSTER SHEA HALL, ,Bloomington,Indiana,,,ACTIVE
