dirty_location,clean_location
10TH STREET/EAST OF JORDA,"39.171422, -86.515500"
10TH STREET/WEST OF JORDAN,"39.171380, -86.515811"
1106 NORTH WOODLAWN,"39.176585, -86.523353"
11TH STREET/WEST OF JORDAN,"39.173365, -86.519049"
1205 NORTH WALNUT GROVE,"39.177921, -86.533676"
12TH STREET/WEST OF JORDAN,"39.173513, -86.515559"
13TH STREET PARKING LOT,"39.175068, -86.519103"
13TH STREET/WEST OF JORDAN,"39.174650, -86.515478"
1412 NORTH JORDAN,"39.180389, -86.510442"
1430 N WILLIS,"39.180228, -86.543788"
14TH STREET/WEST OF JORDAN,"39.175726, -86.513979"
17TH STREET/EAST OF JORDAN,"39.178711, -86.512238"
17TH STREET/WEST OF JORDAN,"39.178706, -86.512674"
222 NORTH DUNN,"39.168469, -86.528135"
309-311 NORTH PARK STREET (DUPLEX),"39.168886, -86.524725"
319 SOUTH MITCHELL,"39.163249, -86.514193"
324 SOUTH HENDERSON,"39.163508, -86.527435"
3RD & UNION APARTMENTS,"39.164661, -86.510206"
3RD STREET/EAST OF JORDAN,"39.164382, -86.516239"
3RD STREET/WEST OF JORDAN,"39.164444, -86.516597"
406 NORTH FESS,"39.169852, -86.525586"
46 BYPASS/EAST OF GOLF CO,"39.179807, -86.506190"
46 BYPASS/WEST OF GOLF CO,"39.180240, -86.508079"
4TH & DUNN PARKING LOT,"39.165792, -86.527892"
4TH STREET/WEST OF JORDAN,"39.167149, -86.516398"
508 E. 3RD,"39.164116, -86.528057"
509 E 3RD,"39.164586, -86.527974"
611 NORTH PARK,"39.171896, -86.524646"
6TH & DUNN PARKING LOT,"39.167789, -86.527905"
6TH STREET/WEST OF JORDAN,"39.167673, -86.516048"
704 EAST 10TH,"39.171535, -86.525305"
705 EAST 7TH,"39.168725, -86.525283"
7TH STREET/EAST OF JORDAN,"39.168925, -86.516062"
7TH STREET/WEST OF JORDAN,"39.168958, -86.516287"
815 EAST COTTAGE GROVE,"39.172538, -86.524071"
815 N. JORDAN AVENUE,"39.174360, -86.515543"
821 EAST 11TH,"39.173431, -86.523840"
8TH STREET/WEST OF JORDAN,"39.169581, -86.516044"
901 E. 13TH,"39.175189, -86.523572"
9TH STREET/WEST OF JORDAN,"39.170597, -86.516102"
Acacia,"39.163942, -86.525509"
ADMISSIONS,"39.168276, -86.515950"
ALL OTHER CAMPUS BUILDING,na
ALL OTHER LOCATIONS OUT OF BLTGN,na
ALL OTHER NON-UNIVERSITY,
ALL OTHER OPEN AREAS,na
ALL OTHER PARKING AREAS,na
ALL OTHER ROADWAYS/INTERS,na
ALPHA CHI OMEGA,"39.174697, -86.513997"
ALPHA DELTA PI,"39.184905, -86.517088"
ALPHA EPSILON PHI,"39.176756, -86.512182"
ALPHA GAMMA DELTA,"39.178408, -86.512016"
ALPHA OMICRON PI,"39.181014, -86.511841"
ALPHA PHI,"39.163925, -86.522307"
ALPHA XI DELTA,"39.184691, -86.517041"
ARBORETUM-SOUTH OF 10TH & FEE LN,"39.171372, -86.519033"
ARMSTRONG STADIUM,"39.180523, -86.514415"
ART MUSEUM,"39.168965, -86.519706"
ASHTON BARNES LOUNGE,"39.170015, -86.511713"
ASHTON COMMON AREA,"39.170015, -86.511713"
ASHTON HERSHEY HALL,"39.170016, -86.512086"
ASHTON JOHNSTON,"39.170973, -86.512143"
ASHTON MOFFAT HALL,"39.171270, -86.511352"
ASHTON VOS HALL,"39.170806, -86.511483"
ASHTON WEATHERLY,"39.169577, -86.511931"
ASSEMBLY HALL,"39.180650, -86.522165"
ATHLETIC/BLUE LOT,"39.179505, -86.522434"
ATHLETIC/GREEN LOT,"39.182202, -86.520242"
ATHLETIC/ORANGE LOT,"39.180929, -86.523640"
ATHLETIC/PURPLE LOT,"39.182825, -86.526751"
ATHLETIC/RED LOT,na
ATHLETIC/WHITE LOT,"39.180904, -86.527556"
ATHLETIC/YELLOW LOT,na
ATWATER AVENUE/EAST OF JORDAN,"39.162964, -86.516273"
ATWATER AVENUE/WEST OF JORDAN,"39.163080, -86.516530"
ATWATER PARKING GARAGE,"39.163402, -86.521881"
AUDITORIUM,"39.168493, -86.518170"
BALLANTINE HALL,"39.165952, -86.521224"
